"","splitweek1","splitweek2","end1","end2","BS_CET","EN_CET","BA_CET","QR_CET","CP_CET","CR_CET","EN_PTS","QR_PTS","CP_PTS","CR_PTS","CET_CP_quantile","PTS_CP_quantile","CET_CR_quantile","PTS_CR_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"21",160,40,20,Inf,0,0,0.750968992248062,0.905038759689923,0.596899224806202,0.596899224806202,0.0267983074753173,0.753391472868217,0.607558139534884,0.607558139534884,0.91607780524224,0.990529062122937,0.918017214613868,0.992125475021233,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"22",20,40,40,Inf,0,0,0.750968992248062,0.961240310077519,0.823643410852713,0.823158914728682,0.0267983074753173,0.839631782945736,0.864341085271318,0.866763565891473,2.66600994179327,2.77271279082904,2.65331452801811,2.8781191945583,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"23",60,40,40,Inf,0,0,0.750968992248062,0.907461240310077,0.0906007751937984,0.0906007751937984,0.0267983074753173,0.606589147286822,0.623546511627907,0.623062015503876,0.919482492840334,0.993492733813912,0.919947601956819,0.992497890650261,2.3,70,8e-06,100,0.01,3500,2,100,2.3,70,8e-06,100,0.01,3500,2,100
"24",160,40,40,Inf,0,0,0.750968992248062,0.905038759689923,0.602713178294574,0.603197674418605,0.0267983074753173,0.753391472868217,0.627906976744186,0.627906976744186,1.03570138405629,0.995530766711052,1.03944382429624,0.995408289965114,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"25",20,40,Inf,Inf,0,0,0.750968992248062,0.905038759689923,0.978682170542636,0.978682170542636,0.0267983074753173,0.83187984496124,0.963662790697674,0.961240310077519,2.86855860540916,3.14304001316066,2.8522716320252,2.99691260973334,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"26",60,40,Inf,Inf,0,0,0.750968992248062,0.907461240310077,0.654069767441861,0.653100775193798,0.0267983074753173,0.846899224806202,0.72577519379845,0.725290697674419,1.44087273179429,1.16891232338053,1.3721159010593,1.1628763828608,2.3,80,8e-06,100,0.01,3500,2,100,2.3,80,8e-06,100,0.01,3500,2,100
"27",160,40,Inf,Inf,0,0,0.750968992248062,0.961240310077519,0.647771317829457,0.647286821705426,0.0267983074753173,0.839631782945736,0.660852713178295,0.660852713178295,1.40349960881934,1.06945992709119,1.37477621021532,1.06073535495047,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"28",20,60,20,20,0,0,0.999515503875969,0.957848837209302,0.00193798449612403,0.00193798449612403,0.0267983074753173,0.678294573643411,0.970930232558139,0.970930232558139,0.634466053981719,0.37216053782409,0.561240171898293,0.37744331646379,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"29",60,60,20,20,0,0,0.999515503875969,0.950581395348837,0.953488372093023,0.674418604651163,0.0267983074753173,0.675872093023256,0.901647286821705,0.899709302325581,0.82175032511267,0.982952498775185,0.821685053764494,0.982166825193934,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"30",160,60,20,20,0,0,0.999515503875969,0.950581395348837,0.00387596899224806,0.865794573643411,0.0267983074753173,0.683139534883721,0.882751937984496,0.907945736434108,0.82175032511267,0.982952498775185,0.918506834868639,0.99193003653533,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
