"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"107",120,80,0,40,0.895582329317269,0.955823293172691,0.875502008032129,0.8714859437751,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"15",120,100,0,0,0.879518072289157,0.963855421686747,0.91566265060241,0.8714859437751,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"63",120,100,0,20,0.939759036144578,0.983935742971888,0.887550200803213,0.867469879518072,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"111",120,100,0,40,0.899598393574297,0.979919678714859,0.895582329317269,0.863453815261044,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"19",120,15,20,0,0.546184738955823,0.606425702811245,0.959839357429719,0.538152610441767,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"67",120,15,20,20,0.839357429718876,0.839357429718876,0.903614457831325,0.847389558232932,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"115",120,15,20,40,0.751004016064257,0.751004016064257,0.899598393574297,0.751004016064257,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"23",120,50,20,0,0.634538152610442,0.678714859437751,0.939759036144578,0.622489959839357,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"71",120,50,20,20,0.863453815261044,0.867469879518072,0.91566265060241,0.85140562248996,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"119",120,50,20,40,0.730923694779116,0.746987951807229,0.93574297188755,0.759036144578313,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"27",120,80,20,0,0.666666666666667,0.694779116465863,0.891566265060241,0.682730923694779,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"75",120,80,20,20,0.8714859437751,0.879518072289157,0.891566265060241,0.839357429718876,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"123",120,80,20,40,0.726907630522088,0.78714859437751,0.875502008032129,0.759036144578313,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"31",120,100,20,0,0.710843373493976,0.730923694779116,0.867469879518072,0.718875502008032,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"79",120,100,20,20,0.887550200803213,0.887550200803213,0.887550200803213,0.823293172690763,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"127",120,100,20,40,0.759036144578313,0.779116465863454,0.863453815261044,0.751004016064257,1.07237903816977,1.07068995330502,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"35",120,15,40,0,0.602409638554217,0.730923694779116,0.983935742971888,0.947791164658635,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"83",120,15,40,20,0.887550200803213,0.919678714859438,0.955823293172691,0.919678714859438,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"131",120,15,40,40,0.795180722891566,0.85140562248996,0.951807228915663,0.899598393574297,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"39",120,50,40,0,0.795180722891566,0.899598393574297,0.975903614457831,0.903614457831325,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"87",120,50,40,20,0.947791164658635,0.955823293172691,0.923694779116466,0.891566265060241,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"135",120,50,40,40,0.887550200803213,0.923694779116466,0.93574297188755,0.895582329317269,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"43",120,80,40,0,0.839357429718876,0.927710843373494,0.91566265060241,0.903614457831325,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"91",120,80,40,20,0.927710843373494,0.967871485943775,0.891566265060241,0.899598393574297,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"139",120,80,40,40,0.895582329317269,0.951807228915663,0.919678714859438,0.8714859437751,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"47",120,100,40,0,0.879518072289157,0.947791164658635,0.91566265060241,0.8714859437751,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"95",120,100,40,20,0.939759036144578,0.975903614457831,0.887550200803213,0.867469879518072,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"143",120,100,40,40,0.903614457831325,0.959839357429719,0.899598393574297,0.863453815261044,2.66277572431457,1.36965038739056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"4",180,15,0,0,0.546184738955823,0.570281124497992,0.983935742971888,0.538152610441767,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"52",180,15,0,20,0.839357429718876,0.815261044176707,0.955823293172691,0.847389558232932,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"100",180,15,0,40,0.751004016064257,0.730923694779116,0.951807228915663,0.751004016064257,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"8",180,50,0,0,0.634538152610442,0.626506024096386,0.975903614457831,0.622489959839357,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"56",180,50,0,20,0.875502008032129,0.771084337349398,0.923694779116466,0.85140562248996,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"104",180,50,0,40,0.730923694779116,0.714859437751004,0.93574297188755,0.759036144578313,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"12",180,80,0,0,0.678714859437751,0.650602409638554,0.91566265060241,0.682730923694779,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"60",180,80,0,20,0.879518072289157,0.726907630522088,0.891566265060241,0.839357429718876,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"108",180,80,0,40,0.730923694779116,0.686746987951807,0.919678714859438,0.755020080321285,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"16",180,100,0,0,0.710843373493976,0.630522088353414,0.91566265060241,0.718875502008032,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"64",180,100,0,20,0.887550200803213,0.710843373493976,0.887550200803213,0.823293172690763,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"112",180,100,0,40,0.783132530120482,0.650602409638554,0.899598393574297,0.746987951807229,0.88687446303796,0.952601418574291,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"20",180,15,20,0,0.546184738955823,0.566265060240964,0.959839357429719,0.538152610441767,0.85791795456328,0.928230318062436,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"68",180,15,20,20,0.835341365461847,0.811244979919679,0.903614457831325,0.847389558232932,0.85791795456328,0.928230318062436,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"116",180,15,20,40,0.751004016064257,0.730923694779116,0.899598393574297,0.751004016064257,0.85791795456328,0.928230318062436,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"24",180,50,20,0,0.634538152610442,0.614457831325301,0.939759036144578,0.622489959839357,0.85791795456328,0.928230318062436,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
