"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"19",210,110,20,0,0.248648648648649,0.245945945945946,0.72972972972973,0.645945945945946,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"67",210,110,20,20,0.932432432432432,0.92972972972973,0.959459459459459,0.954054054054054,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"115",210,110,20,40,0.783783783783784,0.827027027027027,0.943243243243243,0.913513513513514,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"23",210,130,20,0,0.148648648648649,0.637837837837838,0.718918918918919,0.659459459459459,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"71",210,130,20,20,0.948648648648649,0.945945945945946,0.959459459459459,0.956756756756757,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"119",210,130,20,40,0.708108108108108,0.772972972972973,0.797297297297297,0.789189189189189,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"27",210,180,20,0,0.556756756756757,0.686486486486486,0.791891891891892,0.756756756756757,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"75",210,180,20,20,0.945945945945946,0.937837837837838,0.959459459459459,0.948648648648649,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"123",210,180,20,40,0.727027027027027,0.789189189189189,0.821621621621622,0.805405405405405,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"31",210,210,20,0,0.697297297297297,0.775675675675676,0.87027027027027,0.821621621621622,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"79",210,210,20,20,0.940540540540541,0.924324324324324,0.97027027027027,0.943243243243243,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"127",210,210,20,40,0.805405405405405,0.832432432432432,0.954054054054054,0.889189189189189,1.02317051211135,1.02994561041056,2.3,50,2,100,0.01,3500,2,100,2.3,50,2,100,0.01,3500,2,100
"35",210,110,40,0,0.697297297297297,0.905405405405405,0.954054054054054,0.645945945945946,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"83",210,110,40,20,0.962162162162162,0.972972972972973,0.962162162162162,0.951351351351351,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"131",210,110,40,40,0.924324324324324,0.964864864864865,0.956756756756757,0.910810810810811,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"39",210,130,40,0,0.608108108108108,0.862162162162162,0.913513513513514,0.659459459459459,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"87",210,130,40,20,0.959459459459459,0.972972972972973,0.962162162162162,0.954054054054054,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"135",210,130,40,40,0.818918918918919,0.845945945945946,0.87027027027027,0.789189189189189,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"43",210,180,40,0,0.735135135135135,0.856756756756757,0.867567567567568,0.754054054054054,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"91",210,180,40,20,0.962162162162162,0.975675675675676,0.962162162162162,0.948648648648649,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"139",210,180,40,40,0.82972972972973,0.864864864864865,0.837837837837838,0.805405405405405,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"47",210,210,40,0,0.872972972972973,0.918918918918919,0.905405405405405,0.821621621621622,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"95",210,210,40,20,0.972972972972973,0.978378378378378,0.972972972972973,0.943243243243243,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"143",210,210,40,40,0.935135135135135,0.972972972972973,0.964864864864865,0.886486486486487,1.13106339402454,1.0590711189147,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"4",230,110,0,0,0.883783783783784,0.924324324324324,0.972972972972973,0.932432432432432,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"52",230,110,0,20,0.964864864864865,1,0.962162162162162,0.967567567567568,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"100",230,110,0,40,0.956756756756757,0.994594594594595,0.967567567567568,0.954054054054054,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"8",230,130,0,0,0.894594594594595,0.905405405405405,0.956756756756757,0.894594594594595,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"56",230,130,0,20,0.967567567567568,0.994594594594595,0.962162162162162,0.972972972972973,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"104",230,130,0,40,0.867567567567568,0.937837837837838,0.87027027027027,0.875675675675676,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"12",230,180,0,0,0.872972972972973,0.908108108108108,0.910810810810811,0.864864864864865,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"60",230,180,0,20,0.964864864864865,0.994594594594595,0.962162162162162,0.964864864864865,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"108",230,180,0,40,0.897297297297297,0.927027027027027,0.856756756756757,0.854054054054054,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"16",230,210,0,0,0.918918918918919,0.954054054054054,0.916216216216216,0.872972972972973,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"64",230,210,0,20,0.978378378378378,0.989189189189189,0.972972972972973,0.948648648648649,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"112",230,210,0,40,0.975675675675676,0.983783783783784,0.964864864864865,0.908108108108108,1.6336312292437,1.48089513346577,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"20",230,110,20,0,0.248648648648649,0.245945945945946,0.651351351351351,0.645945945945946,0.953209442409962,1.00382868562615,0.01,3500,2,100,0.01,3500,2,100,0.01,3500,2,100,0.01,3500,2,100
"68",230,110,20,20,0.932432432432432,0.0108108108108108,0.959459459459459,0.954054054054054,0.953209442409962,1.00382868562615,0.01,3500,2,100,0.01,3500,2,100,0.01,3500,2,100,0.01,3500,2,100
