;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
134;80;50;40;40;0.889178618;0.949587136;0.892003477;0.898522382;0.939156888;0.908518036;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
42;80;80;40;0;0.86027814;0.937201217;0.919600174;0.867448935;0.925467188;0.897001304;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
90;80;80;40;20;0.94654498;0.978704911;0.948717949;0.952194698;0.91851369;0.911125598;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
138;80;80;40;40;0.900260756;0.957844415;0.902216428;0.903085615;0.929378531;0.895262929;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
46;80;100;40;0;0.897435897;0.952194698;0.899826163;0.896349413;0.920686658;0.880269448;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
94;80;100;40;20;0.935680139;0.970664928;0.937201217;0.936549326;0.891134289;0.886571056;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
142;80;100;40;40;0.913081269;0.959148196;0.915471534;0.911777488;0.899391569;0.880486745;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
3;120;15;0;0;0.641677532;0.817253368;0.641677532;0.756410256;0.981747066;0.952411995;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
51;120;15;0;20;0.909821817;0.968274663;0.909821817;0.946979574;0.956323338;0.941329857;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
99;120;15;0;40;0.825293351;0.924815298;0.825293351;0.884180791;0.957192525;0.930465015;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
7;120;50;0;0;0.868970013;0.899826163;0.868970013;0.851151673;0.960669274;0.925249891;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
55;120;50;0;20;0.927640156;0.968057366;0.927640156;0.946110387;0.907866145;0.920686658;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
103;120;50;0;40;0.885049978;0.947848761;0.885049978;0.921121252;0.937853107;0.916340721;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
11;120;80;0;0;0.853759235;0.93633203;0.853759235;0.897001304;0.918730987;0.903520209;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
59;120;80;0;20;0.942850934;0.977835724;0.942850934;0.964580617;0.913298566;0.916992612;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
107;120;80;0;40;0.893741851;0.956540635;0.893741851;0.926988266;0.904389396;0.901129944;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
15;120;100;0;0;0.889178618;0.949152542;0.889395915;0.922425033;0.920034767;0.886353759;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
